created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sun Oct 29 23:59:19 +0000 2023;1718779578439905615;"Istg kalau aku dipilih jd presiden kelab next sem aku nangis";0;0;0;0;in;2365873284;1718779578439905615;rraehaneh;https://twitter.com/rraehaneh/status/1718779578439905615
Sun Oct 29 23:59:07 +0000 2023;1718779528397664554;"Bella Hadid Tulis Surat untuk Presiden Joe Biden, Dukung Palestina dan Minta Israel Hentikan Serangan https://t.co/9LV1QW2NYy";0;0;0;1;in;58880688;1718779528397664554;pikiran_rakyat;https://twitter.com/pikiran_rakyat/status/1718779528397664554
Sun Oct 29 23:59:04 +0000 2023;1718779517089783904;"Ini perjalanan sosok Luhut Binsar Pandjaitan yang kian moncer di era kepemimpinan Presiden Jokowi. Pertama kali dioiorbitkan oleh Gus Dur, begini lengkapnya! https://t.co/Cnm6Xem0yx";0;0;0;0;in;1666299675329298433;1718779517089783904;erakinimedia;https://twitter.com/erakinimedia/status/1718779517089783904
Sun Oct 29 23:59:02 +0000 2023;1718779505429606569;"@SammiSoh @PDI_Perjuangan Setuju. Karena itulah JOKOWI yang super sabar itu GERAH. Banyak bukti selama pemerintahan JOKOWI si OMA banyak intervensi salah satunya piala dunia yg gagal kemaren. Presiden kedepan memang harus betul2 lepas dari OMA ini";0;0;0;1;in;1529032272027865089;1718454755264270547;bunda_gil;https://twitter.com/bunda_gil/status/1718779505429606569
Sun Oct 29 23:58:51 +0000 2023;1718779459392925816;"Presiden jokowi datang ke palembang asap menghilang. Ini pembakar lahan sudah di breefing dlu sm aparat biar ga bakar hutan apa gmn ni?";0;1;0;0;in;58391771;1718779459392925816;sweetgenius_;https://twitter.com/sweetgenius_/status/1718779459392925816
Sun Oct 29 23:58:40 +0000 2023;1718779414337696132;"@hasyimmah Bahaya sih kalau ketum parpol (yang tidak pernah ganti dan tidak terpilih secara demokratis) memiliki kontrol yang luar biasa terhadap presiden dan anggota DPR…Kita ini republik presidensial bukan seperti negara yang mengaku republik tetapi presidennya dibawah Ketum partai🤪";0;0;0;3;in;173350044;1718446320992899521;rsitanggang2101;https://twitter.com/rsitanggang2101/status/1718779414337696132
Sun Oct 29 23:58:35 +0000 2023;1718779394276405664;"Mustofa Nahrawardaya Pengamat Politik   "Orang yang mengaku tidak bermoral, seperti pecandu film porno, tidak layak menjadi presiden. Belum menjadi presiden sudah pecandu, apalagi kelak presiden. Presiden kita akan kena ledek masyarakat dan dunia" https://t.co/U4SeRCZmj3";0;0;0;0;in;1683498960579862528;1718779394276405664;detikmajalah1;https://twitter.com/detikmajalah1/status/1718779394276405664
Sun Oct 29 23:58:31 +0000 2023;1718779378740646372;"@VIVAcoid Jaman Pangsar Jenderal Sudirman belum ada emka dan beliau bukan anak presiden atau jenderal";0;5;0;40;in;1000964377040764928;1718773359943802997;MNuck2;https://twitter.com/MNuck2/status/1718779378740646372
Sun Oct 29 23:58:17 +0000 2023;1718779320305680759;"@detikcom Beri privilege? Beliau itu presiden. Privilege presiden itu amanat konstitusi, bukan diberikan oleh parpol.";0;0;0;0;in;1351184803;1718572131271802966;JakaLegawa;https://twitter.com/JakaLegawa/status/1718779320305680759
Sun Oct 29 23:58:17 +0000 2023;1718779317382193457;"@Kenikir27 @Chaves1305 Iya, sdh lmyam ini, kita perlu bersyukur, karena bliau sdh bs buktikan bhw bliau bsbermnafaat bg rakyat mski belum.skala nasional,  Smg dg terpilihny bliau sbg presiden, bs lbh bermanfaat lagi kpd rakyat";0;1;1;1;in;1642345189502222336;1718571949440557512;Papa_Brewook;https://twitter.com/Papa_Brewook/status/1718779317382193457
